index,country_code,details,file,timestamp,tls_cipher,tls_protocol,url
1057,CN,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.2.tar.gz', 'project': 'textcleaner', 'version': '0.2', 'type': 'sdist'}",12/18/2018 23:54,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/59/b7/06f2eb678b1030b9e2c01eeb63217b231027ec83cf2e3855bc572375894f/textcleaner-0.2.tar.gz
1058,CN,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.tar.gz', 'project': 'textcleaner', 'version': '0.3', 'type': 'sdist'}",12/18/2018 23:54,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/29/46/c1daed011a52dbda8b5d59efccec9d48a7cca7b7918c0ff02312f75a6800/textcleaner-0.3.tar.gz
1059,CN,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.1.tar.gz', 'project': 'textcleaner', 'version': '0.1', 'type': 'sdist'}",12/18/2018 23:54,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/6c/8c/054b5ad449266d11d1243deefe29707d62ddb22c296fb580abc674ef554a/textcleaner-0.1.tar.gz
1060,CH,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.1.tar.gz', 'project': 'textcleaner', 'version': '0.1', 'type': 'sdist'}",12/18/2018 20:11,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/6c/8c/054b5ad449266d11d1243deefe29707d62ddb22c296fb580abc674ef554a/textcleaner-0.1.tar.gz
1061,CH,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.tar.gz', 'project': 'textcleaner', 'version': '0.3', 'type': 'sdist'}",12/18/2018 20:11,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/29/46/c1daed011a52dbda8b5d59efccec9d48a7cca7b7918c0ff02312f75a6800/textcleaner-0.3.tar.gz
1062,CN,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.1.tar.gz', 'project': 'textcleaner', 'version': '0.1', 'type': 'sdist'}",12/18/2018 20:06,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/6c/8c/054b5ad449266d11d1243deefe29707d62ddb22c296fb580abc674ef554a/textcleaner-0.1.tar.gz
1063,CH,"{'installer': {'name': 'bandersnatch', 'version': '2.2.1'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.2.tar.gz', 'project': 'textcleaner', 'version': '0.2', 'type': 'sdist'}",12/18/2018 20:11,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/59/b7/06f2eb678b1030b9e2c01eeb63217b231027ec83cf2e3855bc572375894f/textcleaner-0.2.tar.gz
1064,CN,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.2.tar.gz', 'project': 'textcleaner', 'version': '0.2', 'type': 'sdist'}",12/18/2018 20:06,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/59/b7/06f2eb678b1030b9e2c01eeb63217b231027ec83cf2e3855bc572375894f/textcleaner-0.2.tar.gz
1065,CN,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.tar.gz', 'project': 'textcleaner', 'version': '0.3', 'type': 'sdist'}",12/18/2018 20:06,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/29/46/c1daed011a52dbda8b5d59efccec9d48a7cca7b7918c0ff02312f75a6800/textcleaner-0.3.tar.gz
1066,US,"{'installer': {'name': 'bandersnatch', 'version': '1.11'}, 'python': None, 'implementation': None, 'distro': None, 'system': None, 'cpu': None, 'openssl_version': None, 'setuptools_version': None}","{'filename': 'textcleaner-0.3.tar.gz', 'project': 'textcleaner', 'version': '0.3', 'type': 'sdist'}",12/19/2018 4:27,ECDHE-RSA-AES128-GCM-SHA256,TLSv1.2,/packages/29/46/c1daed011a52dbda8b5d59efccec9d48a7cca7b7918c0ff02312f75a6800/textcleaner-0.3.tar.gz
